"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"339","Corynebacterium_tuberculostearicum","Ch","Ac",0.0986767317547683,0.16448401966598,1,NA
"340","Staphylococcus_hominis","Ps","Sc",0.0980856643187645,0.167039163443747,1,NA
"341","Finegoldia_magna","Ax","Ac",0.0978459946225643,0.168083632036164,1,NA
"342","Malassezia_restricta","Ax","Sc",-0.0973066085625184,0.170452036163549,1,NA
"343","Cutibacterium_granulosum","Ub","Ll",0.097178010274582,0.171020347476676,1,NA
"344","Finegoldia_magna","Ac","Ll",-0.0965865306939184,0.173652401764699,1,NA
"345","Moraxella_osloensis","Ch","Sc",0.0961591434035582,0.175572864167916,1,NA
"346","Cutibacterium_avidum","Ax","Ac",-0.0951759827419977,0.180050296560744,1,NA
"347","Corynebacterium_kroppenstedtii","Fo","Ac",0.0949415189802257,0.181130399277218,1,NA
"348","Corynebacterium_pseudogenitalium","Fo","Ch",0.0944400704286764,0.183456426582444,1,NA
"349","Corynebacterium_kroppenstedtii","Ps","Ub",0.094327387720497,0.183982127036005,1,NA
"350","Malassezia_globosa","Ub","Ll",-0.093643825919521,0.187194902861713,1,NA
"351","Staphylococcus_caprae_capitis","Fo","Ll",0.0931558598665323,0.189513389722754,1,NA
"352","Corynebacterium_tuberculostearicum","Ax","Ac",0.0924740600230943,0.192787915913807,1,NA
"353","Streptococcus_mitis_oralis_pneumoniae","Sc","Ll",0.0921075599640559,0.194565089576342,1,NA
"354","Cutibacterium_avidum","Ps","Ll",0.0918045812790252,0.196043228270123,1,NA
"355","Brevibacterium_casei","Fo","Ch",0.0914763748023626,0.197653641375207,1,NA
"356","Corynebacterium_pseudogenitalium","Ax","Ll",0.0914128543497187,0.197966423993956,1,NA
"357","Staphylococcus_hominis","Fo","Ll",0.0910374095215281,0.199822501899847,1,NA
"358","Moraxella_osloensis","Ps","Ac",-0.0906439071934103,0.201781353510919,1,NA
